ID,TH-verbs,EN-verbs,Word Fequency,Doc Fequency,IDF,sum of Doc,Doc. percent,Total Feq.,Word Percent,Word Conclude,Doc Conclude
1226,รับประทาน,eat,"243,697","19,710",0.301,"46,686",42.22,"2,550,977",9.55,"243,697 (9.55%)","19,710 (42.22%)"
12160,ปฏิบัติตาม,follow,"21,918","19,493",0.301,"46,686",41.75,"2,550,977",0.86,"21,918 (0.86%)","19,493 (41.75%)"
2377,หลีกเลี่ยง,avoid,"42,124","19,108",0.301,"46,686",40.93,"2,550,977",1.65,"42,124 (1.65%)","19,108 (40.93%)"
8855,ประจำ,be stationed,"21,573","18,637",0.301,"46,686",39.92,"2,550,977",0.85,"21,573 (0.85%)","18,637 (39.92%)"
11381,เหมาะสม,be proper,"35,053","18,350",0.301,"46,686",39.31,"2,550,977",1.37,"35,053 (1.37%)","18,350 (39.31%)"
11461,ให้นม,breast-feed,"41,389","17,502",0.301,"46,686",37.49,"2,550,977",1.62,"41,389 (1.62%)","17,502 (37.49%)"
2071,ลืม,forget,"53,248","16,378",0.301,"46,686",35.08,"2,550,977",2.09,"53,248 (2.09%)","16,378 (35.08%)"
590,ตระหนักถึง,realize,"15,844","15,730",0.301,"46,686",33.69,"2,550,977",0.62,"15,844 (0.62%)","15,730 (33.69%)"
3041,ระวัง,be careful,"28,479","15,137",0.301,"46,686",32.42,"2,550,977",1.12,"28,479 (1.12%)","15,137 (32.42%)"
4386,ปวดศีรษะ,have a headache,"43,691","15,115",0.301,"46,686",32.38,"2,550,977",1.71,"43,691 (1.71%)","15,115 (32.38%)"
2465,ให้ยา,give a prescription,"31,262","14,200",0.301,"46,686",30.42,"2,550,977",1.23,"31,262 (1.23%)","14,200 (30.42%)"
7001,ติดขัด,be congested,"15,020","13,917",0.301,"46,686",29.81,"2,550,977",0.59,"15,020 (0.59%)","13,917 (29.81%)"
7403,เต้น,dance,"41,074","13,368",0.477,"46,686",28.63,"2,550,977",1.61,"41,074 (1.61%)","13,368 (28.63%)"
9569,กระตุ้น,urge,"29,965","13,178",0.477,"46,686",28.23,"2,550,977",1.17,"29,965 (1.17%)","13,178 (28.23%)"
1986,รู้สึก,feel,"20,728","12,313",0.477,"46,686",26.37,"2,550,977",0.81,"20,728 (0.81%)","12,313 (26.37%)"
11137,วินิจฉัย,judge,"40,971","12,249",0.477,"46,686",26.24,"2,550,977",1.61,"40,971 (1.61%)","12,249 (26.24%)"
7783,เจ็บ,hurt,"49,739","12,033",0.477,"46,686",25.77,"2,550,977",1.95,"49,739 (1.95%)","12,033 (25.77%)"
4952,แพ้,be defeated,"30,029","11,938",0.477,"46,686",25.57,"2,550,977",1.18,"30,029 (1.18%)","11,938 (25.57%)"
12408,รอ,wait for,"45,985","11,931",0.477,"46,686",25.56,"2,550,977",1.80,"45,985 (1.80%)","11,931 (25.56%)"
3204,เก็บรักษา,keep,"25,432","11,647",0.477,"46,686",24.95,"2,550,977",1.00,"25,432 (1.00%)","11,647 (24.95%)"
11025,มีไข้,have a temperature,"20,301","11,611",0.477,"46,686",24.87,"2,550,977",0.80,"20,301 (0.80%)","11,611 (24.87%)"
5703,ลดลง,become lower,"22,119","11,591",0.477,"46,686",24.83,"2,550,977",0.87,"22,119 (0.87%)","11,591 (24.83%)"
8442,บำบัด,assuage,"34,245","11,397",0.477,"46,686",24.41,"2,550,977",1.34,"34,245 (1.34%)","11,397 (24.41%)"
4838,พิจารณา,consider,"20,267","11,330",0.477,"46,686",24.27,"2,550,977",0.79,"20,267 (0.79%)","11,330 (24.27%)"
641,มีโอกาส,be likely,"27,003","10,859",0.477,"46,686",23.26,"2,550,977",1.06,"27,003 (1.06%)","10,859 (23.26%)"
10654,ดื่ม,drink,"26,054","10,196",0.602,"46,686",21.84,"2,550,977",1.02,"26,054 (1.02%)","10,196 (21.84%)"
3909,ยับยั้ง,restrain,"20,267","10,068",0.602,"46,686",21.57,"2,550,977",0.79,"20,267 (0.79%)","10,068 (21.57%)"
12139,ตรวจร่างกาย,have a check-up,"13,851","9,679",0.602,"46,686",20.73,"2,550,977",0.54,"13,851 (0.54%)","9,679 (20.73%)"
11881,นอน,sleep,"20,332","9,345",0.602,"46,686",20.02,"2,550,977",0.80,"20,332 (0.80%)","9,345 (20.02%)"
7054,ตอบสนอง,meet,"14,516","9,073",0.602,"46,686",19.43,"2,550,977",0.57,"14,516 (0.57%)","9,073 (19.43%)"
10147,แก้,repair,"19,140","8,833",0.602,"46,686",18.92,"2,550,977",0.75,"19,140 (0.75%)","8,833 (18.92%)"
3890,เย็น,cool,"12,944","8,640",0.602,"46,686",18.51,"2,550,977",0.51,"12,944 (0.51%)","8,640 (18.51%)"
6934,ต้านทาน,resist,"20,746","8,504",0.602,"46,686",18.22,"2,550,977",0.81,"20,746 (0.81%)","8,504 (18.22%)"
7198,ติดตาม,pay attention,"12,599","8,447",0.602,"46,686",18.09,"2,550,977",0.49,"12,599 (0.49%)","8,447 (18.09%)"
6902,ตาย,breakdown,"17,112","8,427",0.602,"46,686",18.05,"2,550,977",0.67,"17,112 (0.67%)","8,427 (18.05%)"
4051,เลือก,choose,"14,981","8,384",0.602,"46,686",17.96,"2,550,977",0.59,"14,981 (0.59%)","8,384 (17.96%)"
8070,ทำลาย,destroy,"15,900","8,376",0.602,"46,686",17.94,"2,550,977",0.62,"15,900 (0.62%)","8,376 (17.94%)"
1514,ทำการ,work,"15,528","8,036",0.699,"46,686",17.21,"2,550,977",0.61,"15,528 (0.61%)","8,036 (17.21%)"
11176,เสี่ยง,risk,"12,690","7,752",0.699,"46,686",16.60,"2,550,977",0.50,"12,690 (0.50%)","7,752 (16.60%)"
2996,มองเห็น,see,"13,701","7,602",0.699,"46,686",16.28,"2,550,977",0.54,"13,701 (0.54%)","7,602 (16.28%)"
8366,บรรเทา,relieve,"13,797","7,409",0.699,"46,686",15.87,"2,550,977",0.54,"13,797 (0.54%)","7,409 (15.87%)"
922,สังเกต,observe,"11,819","7,216",0.699,"46,686",15.46,"2,550,977",0.46,"11,819 (0.46%)","7,216 (15.46%)"
986,แห้ง,be dry,"12,311","7,190",0.699,"46,686",15.40,"2,550,977",0.48,"12,311 (0.48%)","7,190 (15.40%)"
7911,ฉีด,inject,"22,479","7,119",0.699,"46,686",15.25,"2,550,977",0.88,"22,479 (0.88%)","7,119 (15.25%)"
9487,ซึม,dull,"11,060","6,841",0.699,"46,686",14.65,"2,550,977",0.43,"11,060 (0.43%)","6,841 (14.65%)"
