"tsearch","eentry"
"เป็นหลักประกัน","assure"
"อุดฟัน","fill teeth"
"เพื่อประโยชน์ของ","for the benefit of"
"ริบทรัพย์สิน","forfeiture of property"
"คุ้มครองสิทธิ์","guard the rights"
"เตรียมรับมือ","keep up with"
"อ้างคำพูด","quote"
"เรียกค่าเสียหาย","recover damage"
"บาดเจ็บสาหัส","seriously injured"
"ครองสติ","remain conscious"
"คราคร่ำ","be crowded with"
"ภินท์","destroy"
"จดบันทึก","take (down) notes"
"จัดเก็บ","store"
"จัดเก็บ","levy"
"จัดจำหน่าย","distribute"
"จัดระเบียบ","organize"
"จับจ้อง","watch"
"จับอกจับใจ","impress"
"จ้างงาน","employ"
"ชักจูงใจ","persuade"
"ชำระสะสาง","clear work"
"ซึ้งใจ","be impressed with"
"ซึมลึก","embed one's fame"
"ซื่อบื้อ","be stupid"
"ซื้อเวลา","buy some time"
"ซื้อเสียง","buy votes"
"ด้อยค่า","devalue"
"ด้อยโอกาส","have no chance"
"ดังใจ","expect"
"ดัดแปลงแก้ไข","adapt"
"ด่าว่า","scold"
"ดำรงตำแหน่ง","take a position of"
"ดูโทรทัศน์","watch television"
"ดูแลเอาใจใส่","take care of"
"ตกกระไดพลอยโจน","confess"
"ตกที่นั่งลำบาก","be in trouble"
"ตกน้ำ","sink"
"ตกราง","derail"
"ตรงจุด","direct to the point"
"ตั้งข้อหา","allege"
"ตัดไม้ทำลายป่า","deforest"
"ตั้งคำถาม","pose a question"
"ตั้งเนื้อตั้งตัว","establish oneself"
"ตั้งเนื้อตัวตัว","prepare"
"ตั้งมาตรฐาน","set a standard"
"ตากผ้า","dry clothes in the sun"
"ตายหมู่","die en mass"
"ติดต่อสอบถาม","ask for information"
"ตีความหมาย","interpret"
"ตีค่า","appraise"
"ตีโค้ง","turn around"
"ตีตื้น","improve"
"ถอนหงอก","disrespect someone"
"ถ่อมตน","be modest"
"ถั่งโถม","strike"
"ถ่ายเสียง","transcribe"
"ถึงแก่ชีวิต","cause death"
"ถือได้ว่า","be held to be"
"ถือตน","hold oneself to be"
"ถูกเนื้อต้องตัว","touch someone"
"ทรงคุณค่า","be valuable"
"ทรงคุณภาพ","be of good quality"
"ทรงสภาพ","be in a state of"
"ทำงานบ้าน","do housework"
"นับคะแนน","count votes"
"น่าเคารพนับถือ","be respectable"
"น่าลุ้น","wait expectantly"
"น่าอ่าน","be enjoyable to read"
"นิ่งนอนใจ","be at ease"
"ประกอบการ","engage in business"
"ประกอบธุรกิจ","run a business"
"ประกาศตัว","declare oneself"
"ประคองตัว","sustain oneself"
"ประคองตัว","reinvigorate oneself"
"ประจำใจ","adhere to"
"ประเทืองปัญญา","enrich one's mind"
"ประพฤติชอบ","behave well"
"ประพฤติตน","behave oneself"
"ประพฤติมิชอบ","misbehave"
"ปลื้มปิติ","rejoice at/over"
"ปวดแปลบ","have shocking pain"
"ปิดป้อง","cover up"
"ปิดหูปิดตา","cover one's eyes and ears"
"ปูพื้น","lay the foundation"
"ปูพื้น","lay the floor"
"ผละหนี","flee (from)"
"ผละออก","repel"
"ผิดกฎหมาย","be illegal"
"ฝันใฝ่","dream"
"ฝึกสมอง","exercise one's mind"
"พลิ้วไหว","waver"
"พลีชีพ","sacrifice one's life"
"พ้องต้องกัน","be identical"
"พักตากอากาศ","go for a change of air"
"พังครืน","collapse"
"พังครืน","disintegrate"
"พิศวงงงงวย","be puzzled"
"พึงกระทำ","should be done"
"พึ่งตัวเอง","rely on oneself"
"พึงมี","be supposed to"
"พุ่งตรง","direct"
"พุ่งประเด็น","get to the point"
"พุ่งพรวด","soar (e.g. prices)"
"พุ่งพรวด","dart"
"พุ่งพล่าน","be agitated"
"มรณะ","die"
"มวน","roll (a cigarette)"
"มวน","be colicky"
"มองดู","watch"
"มองไม่เห็น","fail to see"
"มองโลก","have the perspective of"
"มองว่า","think"
"มอดไหม้","burn out"
"มอบอำนาจ","authorize"
"มั่นคงแข็งแรง","strengthen"
"มั่นคงถาวร","last"
"มันวาว","glitter"
"มั่นอกมั่นใจ","be confident"
"มาดมั่น","intend"
"มิบังควร","be inappropriate"
"มีเนื้อมีหนัง","be plump"
"มีแผน","plan"
"มีระดับ","be high class"
"มีระเบียบ","be orderly"
"มีสีสัน","be colorful"
"มีเส้นมีสาย","have a circle of friends"
"มีเหตุมีผล","reason"
"มุ่งเน้น","emphasize"
"ยกฐานะ","promote"
"ยอมให้","yield"
"ยักคิ้วหลิ่วตา","make eyes at"
"ยักย้ายถ่ายเท","search for a remedy"
"ยักไหล่","shrug one's shoulder"
"ร่วมงาน","work together"
"ร่วมวง","join"
"รองรับ","support"
"รอบคอบ","be cautious"
"รวมความ","summarize"
"ระคน","mix"
"ระบายสี","paint"
"ระเบียบเรียบร้อย","be in order"
"ย้อนกลับ","turn back"
"ยังผล","cause"
"ยาก","be hard"
"ยากเย็น","be very difficult"
"ร่วมงาน","attend a ceremony"
"ย้ายถิ่น","migrate"
"ยึดติด","adhere to"
"รดน้ำต้นไม้","water"
"ร่วงหล่น","fall"
"รายล้อม","surround"
"รับอาสา","volunteer"
"รู้เท่าทัน","see through someone's trick"
"รู้แน่แก่ใจ","exactly know"
"ระวังตัว","be alert"
"รักษาตัว","be  treated"
"รักษาตัว","take care of oneself"
"รักษาพยาบาล","treat"
"รักษาหน้า","save one's face"
"รู้เรื่องราว","know"
"รับคำ","promise"
"รับเชิญ","be invited"
"รับโทษ","be punished"
"รับประโยชน์","gain an advantage"
"รับผิด","admit one's mistake"
"รับสมัคร","enrol"
"รับเสด็จ","welcome"
"รักษาโรค","cure"
"ร่วมแรง","physically help"
"ร่อนเร่","wander"
"ร่ายยาว","poem"
"ลงสมัคร","apply for a candidate"
"ลดลาวาศอก","decrease adamant"
"ลดหย่อนผ่อนโทษ","reduce a punishment"
"ล้มกระดาน","turn over a board"
"ล้วงลึก","deeply question"
"ลอยคว้าง","float"
"ลอยตัว","have no obligation"
"ลอยตัว","float"
"ลอยฟ่อง","float throughout"
"ล้อเล่น","tease"
"ละเมิดสิทธิ์","violate copyright"
"ลัดเลาะ","have a short cut"
"ล้างจาน","wash dishes"
"ล้างบาง","eliminate"
"ล้างผลาญ","devastate"
"ล้างรถ","wash a car"
"ลืมตา","open eyes"
"ลืมสนิท","completely forget"
"ลู่","be blown (by the wind)"
"วางแผนการ","plan"
"วาดหวัง","imagine"
"ว่าย","swim"
"สบอารมณ์","be pleased with"
"สมทบทุน","join donating"
"สมัครงาน","apply for a job"
"เจียมตน","humble"
"เชือดเฉือน","cut to the heart of"
"เติมเต็ม","fulfill"
"เบ่ง","force to pass faeces"
"เบ่ง","flex"
"เบ่ง","flex one's power"
"เบ่ง","mouth the word"
"เบ่ง","speed"
"เปรียบเสมือน","be compared as"
"เปลี่ยนรูปเปลี่ยนร่าง","metamorphose"
"เปลี่ยวเหงา","feel lonely"
"เปิดช่อง","let someone/something enter"
"เปิดทาง","let someone have a chance"
"เปิดรับ","adopt"
"เปิดรับ","admit"
"เปิดศึก","wage war"
"เปียกโชก","soak"
"หยั่งราก","root"
"หยั่งลึก","penetrate deeply"
"หย่าขาด","divorce"
"หยิบยื่น","offer"
"หล่อเลี้ยง","moisten"
"หล่อเลี้ยง","provide nourishment"
"หล่อหลอม","preach"
"ห่วงหาอาทร","be concerned with"
"หวนคืน","return"
"หวั่นวิตก","be afraid"
"หวีดร้อง","scream"
"ห่อของขวัญ","wrap a present"
"หักลบ","deduct"
"หาเสียง","campaign"
"หาอาหาร","go hunting"
"หิวข้าว","crave for rice"
"หิวโหย","hunger for"
"อดตาย","starve to death"
"อดหลับอดนอน","not sleep at all"
"อบอุ่นใจ","feel comforted"
"ออกตัว","defend"
"ออกตัว","be newly sold"
"อ่อนเยาว์","be young"
"ออนไลน์","on line"
"อ่อนวัย","be young"
"อ้างว่า","claim"
"อ่านใจ","read one's mind"
"อ่านหนังสือ","read"
"อายัดทรัพย์","seize"
"อำนวยความสะดวก","facilitate"
"อิ่มเอิบ","glow with happiness"
"อุปถัมภ์ค้ำชู","support"
"อุปโภค","consume"
"ฮั้ว","come to terms"
"กระดี๊กระด๊า","giggle mirthfully"
"กระทบไหล่","meet"
"กระเป๋าฉีก","lose all one's money"
"กระวีกระวาด","hurry"
"กรี๊ดสลบ","scream"
"กลับบ้านเก่า","die"
"กลืนน้ำลายตัวเอง","go back on one's word"
"กวนเมือง","annoy"
"กวนโอ๊ย","irritate"
"กองพะเนินเทินทึก","pile up"
"กัดไม่ปล่อย","take action seriously"
"การ์ด","guard"
"การันตี","guarantee"
"เก๊กซิม","worry"
"เก็บงาน","check"
"เก็บอาการ","hide the feeling"
"ขบเคี้ยว","crunch"
"ขยายเสียง","amplify"
"ขวัญกระเจิง","be frightened"
"ขออโหสิ","ask for forgiveness"
"ขี้แง","be a crybaby"
"ขี้จุ๊","lie"
"ขี้ฉ้อตอแหล","deceive"
"ขี้ตู่","be apt to make false claims"
"ขี้เมาหยำเป","be dead drunk"
"ขึ้นคอ","carry (a baby) on one's neck"
"ขึ้นแป้น","be sent to press"
"ขึ้นแป้น","hold the championship"
"ขึ้นสมอง","be embedded in one's memory"
"ขึ้นสมอง","enter one's brain"
"เข้าตากรรมการ","satisfy the committee"
"เข้าเป้า","be able to achieve one's aim"
"เข้าแผน","proceed according to one's plan"
"เขี้ยวลากดิน","be tricky"
"แข็งขืน","resist"
"แข็งค่า","rise"
"ค้นตัว","frisk"
"คบไม่ได้","be not worth associating with"
"ครบบริบูรณ์","be complete"
"ครวญคร่ำ","cry over"
"ครวญเพลง","sing"
"ครองความเป็นโสด","be still an unmarried person"
"ครองความสาว","be still an unmarried woman"
"ครองอำนาจ","occupy"
"ครึ้มฟ้าครึ้มฝน","be very cloudy"
"คลาดเวลา","delay"
"คลุกฝุ่น","fall and roll on the ground"
"ควักกระเป๋า","pay"
"ควักเนื้อ","lose"
"ค่อนว่า","reproach intentionally"
"คอยจังหวะ","wait for the right moment"
"คัดตัว","choose"
"คัดไทย","write one's penmanship in Thai language"
"คัดสำเนา","copy"
"คัดออก","sort out"
"คั่วตำแหน่ง","assume the position"
"ค้างสต๊อก","remain in stock"
"คาใจ","be doubtful"
"ค้าเนื้อสด","trade in vice"
"คายตัว","be irritated"
"คิดผิด","be misled"
"คิดไม่ถึง","be unexpected"
"คิดลึก","think deeply"
"คืนจอ","return to movies screen"
"คุ้มกะลาหัว","protect"
"คุยนักคุยหนา","brag"
"เครื่องร้อน","hurry"
"เคลิ้มฝัน","fancy"
"เคืองแค้น","be offended"
"ฆ่าปิดปาก","kill"
"งงเต้ก","be puzzled"
"งงเป็นไก่ตาแตก","get confused"
"จ่อคอหอย","point at someone's throat"
"จ่อคิว","queue up"
"จอดไม่ต้องแจว","come to the end"
"จับไก่","flirt with a girl/woman"
"จับเข่าคุยกัน","negotiate"
"จับต้นชนปลายไม่ถูก","cannot make head or tail of"
"จับไต๋","find fault with"
"จับปลาสองมือ","catch two fish with each hand"
"จับมือใครดมไม่ได้","cannot look for the one who makes trouble"
"จุกคอ","stick in one's throat"
"เจาะข่าว","dig into news"
"เจาะใจ","dig into"
"ฉกลัก","snatch"
"ชกลม","perform shadow-boxing"
"ชนตอ","have difficulty"
"ชักดาบ","cheat"
"ชักดาบ","draw one's sword"
"ชักต๋ง","take a percentage"
"ชั่งแม่ง","It doesn't matter"
"ชั่งหัวมัน","It doesn't matter"
"ชิงแชมป์","compete for the championship"
"ชิงโชค","compete for the prize or reward"
"เช็คบิล","ask for the bill"
"เช็คบิล","take revenge"
"เชยแหลก","be very unfashionable"
"โชกเลือด","be drenched in blood"
"ใช้กำลัง","use force against"
"ซื้อใจ","influence by giving money"
"ซูฮก","be submissive"
"เซถลา","stagger"
"ดวงจู๋","have bad luck"
"ดวลแข้ง","compete in football match"
"ดัดหลัง","teach someone a lesson"
"ดูไม่จืด","does not look good"
"โดนใจ","be to one's taste"
"ตกข่าว","miss the news"
"ตลกฝืด","be not funny"
"ตวัดลิ้น","quibble"
"ตอกกลับ","retort"
"ต่อไม่ติด","can not continue"
"ตะคั้นตะคอก","bellow"
"ตะบึงตะบอน","be peevish"
"ตะเบ๊ะ","salute"
"ตั้งกระทู้","interrogate"
"ตั้งข้อแม้","impose condition"
"ตั้งไฟ","put (a pot) on the stove"
"ตั้งวง","gather into a group"
"ตั้งสมาธิ","concentrate"
"ตัณหากลับ","be sexually aroused"
"ตัดกำลัง","reduce one's power"
"ตัดสิทธิ์","deprive of one's right"
"ตัดอกตัดใจ","restrain one's desire"
"ตัวเบา","lose all one's money"
"ตายดี","naturally die"
"ตายมิตายแหล่","be half dead"
"ตายรัง","die at one's place"
"ตายหยังเขียด","be completely dead"
"ติดลมบน","be stable"
"ติดอยู่ที่ปาก","be stuck at one's lips"
"ตีกระหนาบ","press on two sides"
"ตีเข่า","hit with the knee"
"ตีชิงวิ่งราว","snatch and run away"
"ตีซี้","pretend to be acquainted"
"ตีตนออกห่าง","break with friends"
"ตีตลาด","market a product against"
"ตีตั๋วเด็ก","buy a half-priced ticket"
"ตีตัวออกห่าง","keep aloof"
"ตีบทแตก","have an excellent act"
"ตีลูกเซ่อ","pretend to know nothing"
"ตีหน้าเซ่อ","pretend ignorance"
"เต้นเป็นเจ้าเข้า","get angry"
"เตะถ่วง","retard"
"เตะโทษ","have a punishment kick"
"แตกกลุ่ม","be broken off from a group"
"แต๊ะอั๋ง","take liberties with"
"ถกปัญหา","discuss"
"ถกผ้า","roll up (clothing)"
"ถอนคำพูด","retract one's words"
"ถ่ายทอดสด","broadcast live"
"ถ่ายสำเนา","copy"
"ถึงที่ตาย","come to one's death time"
"ถึงบางอ้อ","realize"
"ถือกรรมสิทธิ์","own"
"ถือเนื้อถือตัว","be arrogant"
"ถือเป็นความลับ","keep the secret"
"ถือเป็นเยี่ยงอย่าง","take someone as a model"
"ถือเป็นอารมณ์","take offence"
"ถือวิสาสะ","make bold"
"ถือศีลกินเจ","observe religious precepts or rite"
"ถูกกฎหมาย","be lawful"
"ถูกจุด","be pertinent"
"ถูกต้อน","be cornered"
"ทวงบุญคุณ","ask for a debt of gratitude"
"ทวนกระแส","go against"
"ทอดกาย","stretch oneself on"
"ทอดธุระ","leave one's business or duty"
"ทะลุเป้า","top"
"ทันโลก","modernize"
"ทาบไม่ติด","be not comparable"
"ทาบรัศมี","scramble for superiority"
"ท่ามาก","hesitate"
"ทารุณจิตใจ","hurt"
"ทำการทำงาน","work"
"ทำกำไร","make a profit"
"ทำงามหน้า","behave shamefully"
"ทำโดยพลการ","act arbitrary"
"ทำเบ่ง","put on airs"
"ทำประตู","kick a ball into the goal"
"ทำเป็นเล่น","treat (a serious matter) as a trifle"
"ทุ่มทุน","dump money to"
"เทกโอเวอร์","take over"
"เทใจ","cheer"
"แทงข้างหลัง","betray"
"น็อค","knock"
"น็อค","knock"
"นุ่งน้อยห่มน้อย","be in the buff"
"นุ่งลมห่มฟ้า","be stripped to the buff"
"บ๊องส์","be half-crazy"
"บ้ายอ","be fond of flattery"
"บ้าเห่อ","be crazy about"
"บินเดี่ยว","do single-handed"
"บึ้บบั้บ","be big"
"เบนเข็ม","turn (away)"
"เบลอ","blur"
"แบกโลก","be anxious"
"ประจบสอพลอ","fawn upon/on"
"ประมาณการณ์","expect"
"ประสาทกิน","be nervous"
"ประสาทเสีย","be irritated"
"ปล่อยทีเด็ด","demonstrate a trick"
"ปอดแหก","be chicken-hearted"
"ปั่นราคา","speculate"
"ปั่นหุ้น","speculate stock"
"ปิ๊ง","like"
"ปิดกั้น","obstruct"
"ปิดข่าว","hush news"
"เป็นเรื่อง","get into trouble"
"เป็นอื่น","change"
"เปลือยใจ","reveal"
"แปลกแยก","be different"
"แปลกหูแปลกตา","be different"
"แปะโป้ง","pawn"
"แปะโป้ง","put a fingerprint on"
"ผะอืดผะอม","feel nauseated"
"ผิดคำพูด","break one's word"
"เผื่อเลือก","reserve for selection"
"ฝังใน","be embedded"
"พกพา","bear"
"พ้นตัว","succeed in escaping"
"พลิกลิ้น","break one's word"
"พักสายตา","rest one's eyes"
"แพ้ใจ","admit defeat"
"แพ้ทาง","have a weak point or spot"
"ฟอกเงิน","launder"
"ฟอนเฟะ","become rotten"
"มันส์","enjoy"
"มั่วซั่ว","pick at random"
"มั่วนิ่ม","seize an opportunity"
"เมาค้าง","hang"
"ไม่สน","be not interested in"
"ยึกยัก","avoid"
"ยึดอำนาจ","seize the power"
"ยื่นคำขาด","deliver an ultimatum"
"ยื่นซองขาว","dismiss"
"ยุบสภา","dissolve the parliament"
"รกเรื้อ","be untidy"
"รกสมอง","be unworthy for thinking"
"รวดร้าว","be painful"
"รวมตัว","assemble"
"รสเด็ด","be delicious"
"รอรี","wait for"
"รับเละ","get much money"
"รับเละ","be responsible for"
"รากเลือด","vomit blood"
"รีดเงิน","squeeze money"
"รุมเร้า","beset"
"ลงแส้","enforce"
"ลงแส้","whip"
"ลดแหลก","reduce the price"
"ล่มสลาย","collapse"
"ไล่ต้อน","drive"
"วัดใจ","test one's willingness"
"วัดดวง","test one's luck"
"วางฟอร์ม","put on airs"
"หนักอึ้ง","be heavy"
"หน้าแหก","lose face"
"หมกเม็ด","hide"
"หมดภูมิ","be at one wit's end"
"หมดภูมิ","have no dignity"
"หมดอารมณ์","be emotionless"
"หยั่งถึง","fathom"
"หลงตัวเอง","be proud of oneself"
"หลงทาง","be misguided"
"หลงทาง","get lost"
"หลงผิด","be mistaken"
"หลบลี้หนีหน้า","make oneself scarce"
"หลอกตัวเอง","deceive oneself"
"หลับใหล","sleep"
"ห่วยแตก","stink"
"อ่อนตัว","be down"
"อ่อนตัว","reduce"
"อ่อนระทวย","be feeble"
"อิจฉาตาร้อน","envy"
"อึ๋ม","be plump"
"เอียน","be bored"
"เลี้ยงลูก","dribble"
"กระทำการ","do"
"กระหายเลือด","lust for blood"
"กลายเป็นนิสัย","be habitual"
"ขอความกรุณา","beg"
"เตือนภัย","warn"
"ถ่วงความเจริญ","retard"
"ไถ่โทษ","redeem a mistake"
"แลเงา","shadow"
"ส่งจูบ","blow a kiss"
"สวนตอบ","respond immediately"
"หักมุม","culminate"
"หักมุม","bend sharply"
"ให้เหตุผล","explain"
"จ่ายล่วงหน้า","deposit"
"เดินโซเซ","stagger"
"คาดเข็มขัด","belt"
"ไม่มีจุดหมาย","have no aim"
"ไร้ศีลธรรม","be immoral"
"เห็นคุณค่า","appreciate"
"ให้อำนาจ","authorize"
"บรรลุเป้าหมาย","achieve"
"จัดแถว","fall into line"
"เเหงนมอง","look up at"
"กลัวเมีย","be henpecked"
"กล่าวเกินจริง","exaggerate"
"กล่าวโจมตี","attack verbally"
"กล้าเสี่ยง","dare"
"กั้นแบ่ง","share"
"กุมมือ","hold one's hand"
"เก็บสำรอง","keep in reserve"
"เกิดขึ้นในใจ","have an idea"
"เกินขอบเขต","be over the limit"
"ขับเคลื่อนด้วย","be powered by"
"ขาดการติดต่อ","lose contact with"
"เข้ากันได้ดี","get along well with"
"เข้าใจง่าย","easily understood"
"เข้าใจยาก","be hard to understand"
"เข้าทำงาน","start work"
"เข้าทำงาน","start employment"
"เข้ายึดครอง","seize"
"คว้าโอกาสที่ดี","seize the opportunity"
"คิดหนัก","think hard"
"คุยจ้อ","blabber on"
"ง่วนอยู่กับ","be absorbed in"
"จมอยู่กับ","be bogged down in"
"จ้องจับผิด","watch attentively for a mistake"
"จัดฉาก","set the scene"
"จัดฉาก","arrange the scenery"
"จับได้","arrest"
"จุกเสียด","be colic"
"เจียดเวลา","try to make time"
"แจ้งตำรวจ","inform the police"
"แจ้งให้ทราบ","inform"
"ฉายแวว","shine"
"ชนะขาดลอย","achieve a decisive victory"
"ช่วยตัวเอง","masturbate"
"ช่วยตัวเอง","help oneself"
"ชายตามอง","glance at"
"ชิดขวา","keep right"
"ดักรอ","hold up and wait for"
"ด่ากลับ","insult in turn"
"ดูดี","look good"
"ได้มาตรฐาน","standardized"
"ตกฮวบ","fall quickly"
"ตระหนักถึง","realize"
"ตัดผ่าน","cut through"
"ตัดออก","eliminate"
"ตามตื๊อ","pester"
"เตรียมใจ","prepare oneself"
"เติมน้ำมัน","add fuel"
"แตะเบาๆ","touch lightly"
"ถอนอำนาจ","take away one's authority"
"ถอยห่าง","move far from"
"ถูกตราหน้า","blame"
"ทำงานหนัก","work hard"
"ทำลวกๆ","do casually"
"ทำสำเนา","duplicate"
"บ่งบอกถึง","imply"
"ประกาศรับ","announce one is accepting application"
"ประทังชีวิต","support oneself, one's family"
"ประพฤติผิด","misbehave"
"ปลุกอารมณ์","tempt"
"ป่วยหนัก","be severely ill"
"ปิดกิจการ","close down"
"ปิดเงียบ","keep mum about"
"ปิดเงียบ","close tightly"
"ปิดผนึก","seal"
"เป็นลางร้าย","bode ill"
"เป็นหนึ่งเดียว","unite"
"เป็นเหตุให้","cause"
"เป็นอดีต","be (a) former"
"เป็นอิสระจาก","be independent of"
"เปิดม่าน","open the curtain"
"ไปทางลัด","take a shortcut"
"ผ่านการทดสอบ","pass the test"
"เผชิญความจริง","confront the truth"
"เผยความลับ","reveal a secret"
"พร่ำพูด","be garrulous"
"พัดกระหน่ำ","buffet (of wind)"
"พุ่งชน","collide with"
"พูดงึมงำ","murmur"
"พูดเจื้อยแจ้ว","speak on and on"
"พูดแทรก","interrupt"
"พูดรัว","speak rapidly and clearly"
"พูดเรื่อยเปื่อย","speak extemporaneously"
"พูดเสียงต่ำ","speak in a low tone"
"พูดอ้อม","beat around the bush"
"มาสาย","arrive late"
"มาสาย","arrive late"
"มีความสำคัญ","be significant"
"มีความหวัง","hope"
"มีผลต่อ","affect"
"มีพรสวรรค์","be gifted"
"มีเพศสัมพันธ์","engage in sexual intercourse"
"มีส่วนร่วม","participate in"
"มีโอกาส","be likely"
"เมาหัวราน้ำ","be very drunk"
"ไม่เข้ากับ","not match"
"ไม่เปลี่ยนใจ","not change one's mind"
"ไม่พูดถึง","not mention"
"ไม่เอาผิด","not find fault with"
"ยกธง","surrender"
"ย่นเวลา","reduce time"
"ยอมตาม","yield"
